,,predicted y using no of features according to heat map,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.060303393,,0.085697778,0.086067797,0.087211169,0.07208366,0.078396254,0.079439348,0.074647155,0.080154586,0.08389334
0.037114341,,0.057943007,0.085253998,0.082941594,0.082851177,0.069421023,0.074676394,0.069591528,0.069591528,0.070993757
0.08981698,,0.085697778,0.085344772,0.087204469,0.082851177,0.08913075,0.084775561,0.085339174,0.084247693,0.093091685
0.060891839,,0.057943007,0.085344772,0.090824187,0.075784792,0.069421023,0.069591528,0.069591528,0.069591528,0.071274367
0.06554233,,0.057943007,0.039514197,0.051696418,0.037447303,0.061468578,0.049271942,0.048489614,0.040609434,0.056220694
0.038971616,,0.057943007,0.039514197,0.053176414,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.052913623
0.080748112,,0.063376993,0.101651498,0.109645072,0.082851177,0.088385016,0.087048483,0.086997286,0.084247693,0.086759985
0.355423367,,0.078004144,0.32668296,0.32668296,0.32668296,0.327849128,0.336642063,0.330958908,0.328913889,0.328393339
0.045831544,,0.057943007,0.085344772,0.087840151,0.075784792,0.068741327,0.058973341,0.068741327,0.068867527,0.071274367
0.065905765,,0.085697778,0.086067797,0.092010692,0.082851177,0.070387544,0.074751584,0.069591528,0.069591528,0.093091685
0.088897281,,0.085697778,0.086067797,0.09263554,0.082851177,0.069591528,0.071217671,0.069591528,0.069591528,0.077846429
0.099418357,,0.085697778,0.086067797,0.087211169,0.07208366,0.08913075,0.079439348,0.074647155,0.073139119,0.081182415
0.081531757,,0.085697778,0.085344772,0.084744281,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.073622517
0.056654814,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.10583122,,0.085697778,0.085344772,0.086761393,0.082851177,0.08913075,0.084775561,0.085339174,0.084247693,0.093091685
0.152792553,,0.085697778,0.085344772,0.092745198,0.082851177,0.08913075,0.084775561,0.085339174,0.084247693,0.093777239
0.06631715,,0.057943007,0.085344772,0.08855593,0.075784792,0.069421023,0.069591528,0.069591528,0.068867527,0.069591528
0.043265181,,0.057943007,0.085344772,0.090824187,0.075784792,0.068741327,0.058973341,0.068741327,0.068867527,0.071274367
0.049718954,,0.057943007,0.045281563,0.054979226,0.056212102,0.047938699,0.049108531,0.043986349,0.047938699,0.052913623
0.067138914,,0.085697778,0.086067797,0.087211169,0.07208366,0.08913075,0.079439348,0.074647155,0.073139119,0.077846429
0.03612119,,0.057943007,0.044952663,0.068079522,0.07208366,0.064864813,0.057787956,0.048489614,0.048082853,0.057851498
0.059575056,,0.085697778,0.085344772,0.087204469,0.082851177,0.070387544,0.084775561,0.074647155,0.084247693,0.093091685
0.099214947,,0.10883094,0.123075456,0.12400407,0.075784792,0.069591528,0.069591528,0.071580238,0.069591528,0.073622517
0.334363207,,0.405729219,0.39190574,0.362661133,0.342951589,0.355044408,0.338752873,0.341637538,0.333925944,0.352338646
0.097464682,,0.078004144,0.105110872,0.114037794,0.082851177,0.096196943,0.115642037,0.094046268,0.084247693,0.086759985
0.042326693,,0.085697778,0.086067797,0.087211169,0.07208366,0.078396254,0.079439348,0.074647155,0.073139119,0.077846429
0.051062065,,0.085697778,0.085344772,0.085133835,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.077846429
0.054924665,,0.085697778,0.085344772,0.084744281,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.073622517
0.048937784,,0.057943007,0.044952663,0.05015425,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.052913623
0.033661149,,0.057943007,0.044952663,0.068079522,0.07208366,0.064864813,0.057787956,0.048489614,0.048082853,0.057851498
0.053929982,,0.085697778,0.085344772,0.084744281,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.073622517
0.090051997,,0.084180528,0.0838213,0.089710093,0.082851177,0.069591528,0.074676394,0.069591528,0.069591528,0.073622517
0.064738838,,0.085697778,0.086067797,0.097466792,0.082851177,0.069591528,0.071217671,0.069591528,0.069591528,0.077846429
0.081291231,,0.085697778,0.090851499,0.095332199,0.082851177,0.069591528,0.071217671,0.069591528,0.069591528,0.093091685
0.047479471,,0.078004144,0.084467439,0.090928765,0.082851177,0.069591528,0.069591528,0.069591528,0.069591528,0.073475029
0.034221575,,0.057943007,0.045281563,0.05015425,0.05460054,0.042641914,0.049108531,0.042010331,0.040609434,0.052913623
0.03370432,,0.077050909,0.053155662,0.068079522,0.075784792,0.066163474,0.050933563,0.048489614,0.048082853,0.070993757
0.055146228,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.048706793,,0.057943007,0.069591528,0.069990793,0.056808131,0.061468578,0.049271942,0.069591528,0.060510167,0.056220694
0.101072123,,0.085697778,0.086067797,0.087211169,0.07208366,0.08913075,0.079439348,0.074647155,0.073139119,0.077846429
0.026564166,,0.085697778,0.044952663,0.068079522,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.046066064
